triple,worker,answer
implied_category-roll-shovel I know that (a/an) shovel can roll/be used for rolling as most or all other things similar to (a/an) shovel roll. ,antske,false
implied_category-roll-shovel I know that (a/an) shovel can roll/be used for rolling as most or all other things similar to (a/an) shovel roll. ,pia_run1,false
implied_category-roll-shovel I know that (a/an) shovel can roll/be used for rolling as most or all other things similar to (a/an) shovel roll. ,piek,false
typical_of_property-roll-shovel ``Shovel'' is one of the first things which come to mind when I hear ``roll' because (a/an) shovel is a typical example of things which roll/are used for rolling'. ,antske,false
typical_of_property-roll-shovel ``Shovel'' is one of the first things which come to mind when I hear ``roll' because (a/an) shovel is a typical example of things which roll/are used for rolling'. ,pia_run1,false
typical_of_property-roll-shovel ``Shovel'' is one of the first things which come to mind when I hear ``roll' because (a/an) shovel is a typical example of things which roll/are used for rolling'. ,piek,false
typical_of_concept-roll-shovel ``Roll'' is one for the first things which come to mind when I hear ``shovel' because rolling is one of the typical movements of (a/an) shovel'.,antske,false
typical_of_concept-roll-shovel ``Roll'' is one for the first things which come to mind when I hear ``shovel' because rolling is one of the typical movements of (a/an) shovel'.,pia_run1,false
typical_of_concept-roll-shovel ``Roll'' is one for the first things which come to mind when I hear ``shovel' because rolling is one of the typical movements of (a/an) shovel'.,piek,false
afforded_unusual-roll-shovel All or most  shovel(s) can roll/be used for rolling. This is not what they normally do or are used for. ,antske,false
afforded_unusual-roll-shovel All or most  shovel(s) can roll/be used for rolling. This is not what they normally do or are used for. ,pia_run1,false
afforded_unusual-roll-shovel All or most  shovel(s) can roll/be used for rolling. This is not what they normally do or are used for. ,piek,false
afforded_usual-roll-shovel I know that all or most shovel(s) roll regularly or are used for rolling regularly. ,antske,false
afforded_usual-roll-shovel I know that all or most shovel(s) roll regularly or are used for rolling regularly. ,pia_run1,false
afforded_usual-roll-shovel I know that all or most shovel(s) roll regularly or are used for rolling regularly. ,piek,false
variability_limited-roll-shovel You can find (a/an) shovel which can roll/be used for rolling. This distinguishes a certain type of shovel from others. ,antske,false
variability_limited-roll-shovel You can find (a/an) shovel which can roll/be used for rolling. This distinguishes a certain type of shovel from others. ,pia_run1,false
variability_limited-roll-shovel You can find (a/an) shovel which can roll/be used for rolling. This distinguishes a certain type of shovel from others. ,piek,false
"creative-roll-shovel I could say (a/an) shovel rolls/is used for rolling, but I would most certainly not mean it literally.",antske,false
"creative-roll-shovel I could say (a/an) shovel rolls/is used for rolling, but I would most certainly not mean it literally.",pia_run1,false
"creative-roll-shovel I could say (a/an) shovel rolls/is used for rolling, but I would most certainly not mean it literally.",piek,false
"unusual-roll-shovel Usually, (a/an) shovel cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) shovel can roll.",antske,true
"unusual-roll-shovel Usually, (a/an) shovel cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) shovel can roll.",pia_run1,true
"unusual-roll-shovel Usually, (a/an) shovel cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) shovel can roll.",piek,true
typical_of_property-dangerous-freebooter ``Freebooter'' is one of the first things which come to mind when I hear ``dangerous' because (a/an) freebooter is a typical example of things which are dangerous'. ,antske,false
typical_of_property-dangerous-freebooter ``Freebooter'' is one of the first things which come to mind when I hear ``dangerous' because (a/an) freebooter is a typical example of things which are dangerous'. ,pia_run1,false
typical_of_property-dangerous-freebooter ``Freebooter'' is one of the first things which come to mind when I hear ``dangerous' because (a/an) freebooter is a typical example of things which are dangerous'. ,piek,false
typical_of_concept-dangerous-freebooter ``Dangerous'' is one for the first things which come to mind when I hear ``freebooter' because dangerous is one of the typical evaluations of (a/an) freebooter'.,antske,true
typical_of_concept-dangerous-freebooter ``Dangerous'' is one for the first things which come to mind when I hear ``freebooter' because dangerous is one of the typical evaluations of (a/an) freebooter'.,pia_run1,true
typical_of_concept-dangerous-freebooter ``Dangerous'' is one for the first things which come to mind when I hear ``freebooter' because dangerous is one of the typical evaluations of (a/an) freebooter'.,piek,true
variability_limited-dangerous-freebooter You can find (a/an) freebooter which is dangerous. (A/an) freebooter is usually either dangerous or not dangerous. It cannot be a bit more or less dangerous.,antske,false
variability_limited-dangerous-freebooter You can find (a/an) freebooter which is dangerous. (A/an) freebooter is usually either dangerous or not dangerous. It cannot be a bit more or less dangerous.,pia_run1,false
variability_limited-dangerous-freebooter You can find (a/an) freebooter which is dangerous. (A/an) freebooter is usually either dangerous or not dangerous. It cannot be a bit more or less dangerous.,piek,false
"creative-dangerous-freebooter I could say (a/an) freebooter is dangerous, but I would most certainly not mean it literally.",antske,false
"creative-dangerous-freebooter I could say (a/an) freebooter is dangerous, but I would most certainly not mean it literally.",pia_run1,false
"creative-dangerous-freebooter I could say (a/an) freebooter is dangerous, but I would most certainly not mean it literally.",piek,false
"rare-dangerous-freebooter I think (a/an) freebooter can be dangerous, but this is rare or uncommon.",antske,false
"rare-dangerous-freebooter I think (a/an) freebooter can be dangerous, but this is rare or uncommon.",pia_run1,false
"rare-dangerous-freebooter I think (a/an) freebooter can be dangerous, but this is rare or uncommon.",piek,false
"unusual-dangerous-freebooter Usually, (a/an) freebooter is not dangerous, but there could be a highly unusual situation in which (a/an) freebooter is dangerous.",antske,false
"unusual-dangerous-freebooter Usually, (a/an) freebooter is not dangerous, but there could be a highly unusual situation in which (a/an) freebooter is dangerous.",pia_run1,false
"unusual-dangerous-freebooter Usually, (a/an) freebooter is not dangerous, but there could be a highly unusual situation in which (a/an) freebooter is dangerous.",piek,false
impossible-dangerous-freebooter I think it is impossible for (a/an) freebooter to be dangerous.,antske,false
impossible-dangerous-freebooter I think it is impossible for (a/an) freebooter to be dangerous.,pia_run1,false
impossible-dangerous-freebooter I think it is impossible for (a/an) freebooter to be dangerous.,piek,false
implied_category-yellow-pineapple I know that (a/an) pineapple is yellow as most or all other things similar to (a/an) pineapple are yellow. ,antske,false
implied_category-yellow-pineapple I know that (a/an) pineapple is yellow as most or all other things similar to (a/an) pineapple are yellow. ,pia_run1,false
implied_category-yellow-pineapple I know that (a/an) pineapple is yellow as most or all other things similar to (a/an) pineapple are yellow. ,piek,false
typical_of_property-yellow-pineapple ``Pineapple'' is one of the first things which come to mind when I hear ``yellow' because (a/an) pineapple is a typical example of things which are yellow'. ,antske,false
typical_of_property-yellow-pineapple ``Pineapple'' is one of the first things which come to mind when I hear ``yellow' because (a/an) pineapple is a typical example of things which are yellow'. ,pia_run1,false
typical_of_property-yellow-pineapple ``Pineapple'' is one of the first things which come to mind when I hear ``yellow' because (a/an) pineapple is a typical example of things which are yellow'. ,piek,false
typical_of_concept-yellow-pineapple ``Yellow'' is one for the first things which come to mind when I hear ``pineapple' because yellow is one of the typical colors of (a/an) pineapple'.,antske,true
typical_of_concept-yellow-pineapple ``Yellow'' is one for the first things which come to mind when I hear ``pineapple' because yellow is one of the typical colors of (a/an) pineapple'.,pia_run1,true
typical_of_concept-yellow-pineapple ``Yellow'' is one for the first things which come to mind when I hear ``pineapple' because yellow is one of the typical colors of (a/an) pineapple'.,piek,true
affording_activity-yellow-pineapple I know that being yellow is necessary for many things (a/an) pineapple does or is used for. ,antske,false
affording_activity-yellow-pineapple I know that being yellow is necessary for many things (a/an) pineapple does or is used for. ,pia_run1,false
affording_activity-yellow-pineapple I know that being yellow is necessary for many things (a/an) pineapple does or is used for. ,piek,false
variability_open-yellow-pineapple You can find (a/an) pineapple which is yellow. Yellow is one of many possible colors (a/an) pineapple usually has. The range of colors is almost unlimited. ,antske,false
variability_open-yellow-pineapple You can find (a/an) pineapple which is yellow. Yellow is one of many possible colors (a/an) pineapple usually has. The range of colors is almost unlimited. ,pia_run1,false
variability_open-yellow-pineapple You can find (a/an) pineapple which is yellow. Yellow is one of many possible colors (a/an) pineapple usually has. The range of colors is almost unlimited. ,piek,false
"creative-red-carrot I could say (a/an) carrot is red, but I would most certainly not mean it literally.",antske,false
"creative-red-carrot I could say (a/an) carrot is red, but I would most certainly not mean it literally.",pia_run1,false
"creative-red-carrot I could say (a/an) carrot is red, but I would most certainly not mean it literally.",piek,false
impossible-red-carrot I think it is impossible for (a/an) carrot to be red.,antske,false
impossible-red-carrot I think it is impossible for (a/an) carrot to be red.,pia_run1,false
impossible-red-carrot I think it is impossible for (a/an) carrot to be red.,piek,false
implied_category-red-wine I know that (a/an) wine is red as most or all other things similar to (a/an) wine are red. ,antske,false
implied_category-red-wine I know that (a/an) wine is red as most or all other things similar to (a/an) wine are red. ,pia_run1,false
implied_category-red-wine I know that (a/an) wine is red as most or all other things similar to (a/an) wine are red. ,piek,false
typical_of_concept-red-wine ``Red'' is one for the first things which come to mind when I hear ``wine' because red is one of the typical colors of (a/an) wine'.,antske,true
typical_of_concept-red-wine ``Red'' is one for the first things which come to mind when I hear ``wine' because red is one of the typical colors of (a/an) wine'.,pia_run1,true
typical_of_concept-red-wine ``Red'' is one for the first things which come to mind when I hear ``wine' because red is one of the typical colors of (a/an) wine'.,piek,true
variability_limited-red-wine You can find (a/an) wine which is red. Red is one of a few possible colors (a/an) wine usually has. There is only a limited range of possible colors.,antske,true
variability_limited-red-wine You can find (a/an) wine which is red. Red is one of a few possible colors (a/an) wine usually has. There is only a limited range of possible colors.,pia_run1,true
variability_limited-red-wine You can find (a/an) wine which is red. Red is one of a few possible colors (a/an) wine usually has. There is only a limited range of possible colors.,piek,true
variability_open-red-wine You can find (a/an) wine which is red. Red is one of many possible colors (a/an) wine usually has. The range of colors is almost unlimited. ,antske,false
variability_open-red-wine You can find (a/an) wine which is red. Red is one of many possible colors (a/an) wine usually has. The range of colors is almost unlimited. ,pia_run1,false
variability_open-red-wine You can find (a/an) wine which is red. Red is one of many possible colors (a/an) wine usually has. The range of colors is almost unlimited. ,piek,false
"creative-red-wine I could say (a/an) wine is red, but I would most certainly not mean it literally.",antske,false
"creative-red-wine I could say (a/an) wine is red, but I would most certainly not mean it literally.",pia_run1,false
"creative-red-wine I could say (a/an) wine is red, but I would most certainly not mean it literally.",piek,false
"rare-red-wine I think (a/an) wine can be red, but this is rare or uncommon.",antske,false
"rare-red-wine I think (a/an) wine can be red, but this is rare or uncommon.",pia_run1,false
"rare-red-wine I think (a/an) wine can be red, but this is rare or uncommon.",piek,false
"unusual-red-wine Usually, (a/an) wine is not red, but there could be a highly unusual situation in which (a/an) wine is red.",antske,false
"unusual-red-wine Usually, (a/an) wine is not red, but there could be a highly unusual situation in which (a/an) wine is red.",pia_run1,false
"unusual-red-wine Usually, (a/an) wine is not red, but there could be a highly unusual situation in which (a/an) wine is red.",piek,false
impossible-red-wine I think it is impossible for (a/an) wine to be red.,antske,false
impossible-red-wine I think it is impossible for (a/an) wine to be red.,pia_run1,false
impossible-red-wine I think it is impossible for (a/an) wine to be red.,piek,false
