relation,property,concept,answer,agreement,workerid,questionid,quid,description,exampletrue,examplefalse,run,sublist,completionurl,name
implied_category,fly,arrow,ADD LABEL,ADD EXPECTATION,gold labels,12787,6c5db270-9fae-41b6-bad7-4c46824f8abd,I know that (a/an) arrow can fly/be used for flying as most or all other things similar to (a/an) arrow fly. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) dog can bark/be used for barking as most or all other things similar to (a/an) dog bark. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
typical_of_property,fly,arrow,false,agree,gold labels,12788,a05495ad-3402-4c12-ab40-c082a7d73026,``Arrow'' is one of the first things which come to mind when I hear ``fly' because (a/an) arrow is a typical example of things which fly/are used for flying'. ,``Knife'' is one of the first things which come to mind when I hear ``cut' because (a/an) knife is a typical example of things which cut/are used for cuting'. ,``Hamster'' is one of the first things which come to mind when I hear ``kill' because (a/an) hamster is a typical example of things which kill/are used for killing'. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
typical_of_concept,fly,arrow,true,agree,gold labels,12789,8043f5ab-8b5f-4044-b026-53c86939d2c4,``Fly'' is one for the first things which come to mind when I hear ``arrow' because flying is one of the typical movements of (a/an) arrow'.,``Poke'' is one for the first things which come to mind when I hear ``needle' because pokeing is one of the typical activities of (a/an) needle'.,``Cut'' is one for the first things which come to mind when I hear ``brush' because cuting is one of the typical activities of (a/an) brush'.,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
afforded_unusual,fly,arrow,ADD LABEL,ADD EXPECTATION,gold labels,12790,4e72463b-8dec-4ad9-b70a-03d77632515c,All or most  arrow(s) can fly/be used for flying. This is not what they normally do or are used for. ,All or most  fork(s) can fight/be used for fighting. This is not what they normally do or are used for. ,All or most  brush(s) can fly/be used for flying. This is not what they normally do or are used for. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
afforded_usual,fly,arrow,true,agree,gold labels,12791,c4a3f363-3b69-4b51-83f9-28a18b631ff2,I know that all or most arrow(s) fly regularly or are used for flying regularly. ,I know that all or most candle(s) burn regularly or are used for burning regularly. ,I know that all or most T-shirt(s) wrap regularly or are used for wraping regularly. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
variability_limited,fly,arrow,false,agree,gold labels,12792,0fcea931-ee6f-4ccf-b622-093dbfbb33af,You can find (a/an) arrow which can fly/be used for flying. This distinguishes a certain type of arrow from others. ,You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. ,You can find (a/an) dog which can breathe/be used for breathing. This distinguishes a certain type of dog from others. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
creative,fly,arrow,false,agree,gold labels,12793,bb1746e0-25b3-426f-a3f8-f047728ccbf4,"I could say (a/an) arrow flies/is used for flying, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
rare,fly,arrow,false,agree,gold labels,12794,b0bd90d3-2f16-4dbb-9d64-0cf24ce8fc59,"I think there is a arrow  which can fly/be used for flying, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
unusual,fly,arrow,false,agree,gold labels,12795,f41f4af4-17cb-4ef5-815d-e26e5b1bd27a,"Usually, (a/an) arrow cannot fly/be used for flying, but there could be a highly unusual situation in which (a/an) arrow can fly.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
impossible,fly,arrow,false,agree,gold labels,12796,fb2eb2dc-48e6-42c1-b980-db90d3826be7,I think it is impossible for (a/an) arrow to fly/be used for flying.,I think it is impossible for (a/an) rock to float/be used for floating.,I think it is impossible for (a/an) metal to melt/be used for melting.,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
creative,roll,pin,false,agree,gold labels,12797,db6fd3c3-5e24-4300-8a87-8e250e40b035,"I could say (a/an) pin rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
rare,roll,pin,ADD LABEL,ADD EXPECTATION,gold labels,12798,189a121d-95ff-41bc-ad09-bfe2f8fc0561,"I think there is a pin  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
unusual,roll,pin,false,agree,gold labels,12799,a34ed688-c717-491a-8c7e-0ffed6fb1130,"Usually, (a/an) pin cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) pin can roll.","Usually, (a/an) hot dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot dog can walk.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
impossible,roll,pin,false,agree,gold labels,12800,db74eb38-9042-4fe9-becd-57cd970d370d,I think it is impossible for (a/an) pin to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
implied_category,yellow,buttercup,false,agree,gold labels,12801,b7378bf4-91a4-4232-9c8c-9d5d9570a1c6,I know that (a/an) buttercup is yellow as most or all other things similar to (a/an) buttercup are yellow. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
typical_of_property,yellow,buttercup,false,agree,gold labels,12802,66e6352a-2647-430b-a6bb-a08fd1d4daee,``Buttercup'' is one of the first things which come to mind when I hear ``yellow' because (a/an) buttercup is a typical example of things which are yellow'. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful' because (a/an) rainbow is a typical example of things which are colorful'. ,``Table'' is one of the first things which come to mind when I hear ``white' because (a/an) table is a typical example of things which are white'. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
typical_of_concept,yellow,buttercup,true,agree,gold labels,12803,5ab120f7-5472-4ba3-9e94-1e43139eaa37,``Yellow'' is one for the first things which come to mind when I hear ``buttercup' because yellow is one of the typical colors of (a/an) buttercup'.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper' because spicy is one of the typical tastes of (a/an) chili_pepper'.,``Sweet'' is one for the first things which come to mind when I hear ``spinach' because sweet is one of the typical tastes of (a/an) spinach'.,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
affording_activity,yellow,buttercup,ADD LABEL,ADD EXPECTATION,gold labels,12804,842d82fd-b912-4070-b4c1-93b1a54aa635,I know that being yellow is necessary for many things (a/an) buttercup does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
variability_limited,yellow,buttercup,false,agree,gold labels,12805,619d67ee-79ee-456a-8206-c5864857a042,You can find (a/an) buttercup which is yellow. Yellow is one of a few possible colors (a/an) buttercup usually has. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose usually has. There is only a limited range of possible colors.,You can find (a/an) mug which is blue. Blue is one of a few possible colors (a/an) mug usually has. There is only a limited range of possible colors.,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
variability_open,yellow,buttercup,false,agree,gold labels,12806,6c9be570-2c59-4a3e-a0fe-01125194dd2b,You can find (a/an) buttercup which is yellow. Yellow is one of many possible colors (a/an) buttercup usually has. The range of colors is almost unlimited. ,You can find (a/an) dress which is white. White is one of many possible colors (a/an) dress usually has. The range of colors is almost unlimited. ,You can find (a/an) pea which is green. Green is one of many possible colors (a/an) pea usually has. The range of colors is almost unlimited. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
implied_category,roll,tire,ADD LABEL,ADD EXPECTATION,gold labels,12807,4f076331-4412-427b-8748-a68fde36e970,I know that (a/an) tire can roll/be used for rolling as most or all other things similar to (a/an) tire roll. ,I know that (a/an) poodle can bark/be used for barking as most or all other things similar to (a/an) poodle bark. ,I know that (a/an) dog can bark/be used for barking as most or all other things similar to (a/an) dog bark. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
typical_of_property,roll,tire,ADD LABEL,ADD EXPECTATION,gold labels,12808,cb00cbfa-837a-487e-b974-736d8c27422e,``Tire'' is one of the first things which come to mind when I hear ``roll' because (a/an) tire is a typical example of things which roll/are used for rolling'. ,``Knife'' is one of the first things which come to mind when I hear ``cut' because (a/an) knife is a typical example of things which cut/are used for cuting'. ,``Hamster'' is one of the first things which come to mind when I hear ``kill' because (a/an) hamster is a typical example of things which kill/are used for killing'. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
typical_of_concept,roll,tire,true,agree,gold labels,12809,22ea8137-dbe1-47f0-875d-f55309b96116,``Roll'' is one for the first things which come to mind when I hear ``tire' because rolling is one of the typical movements of (a/an) tire'.,``Paint'' is one for the first things which come to mind when I hear ``brush' because painting is one of the typical activities of (a/an) brush'.,``Throw'' is one for the first things which come to mind when I hear ``apple' because throwing is one of the typical activites of (a/an) apple'.,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
afforded_unusual,roll,tire,false,agree,gold labels,12810,ae40fb3d-eed7-4d63-ae6b-df7a5cdc8656,All or most  tire(s) can roll/be used for rolling. This is not what they normally do or are used for. ,All or most  T-shirt(s) can clean/be used for cleaning. This is not what they normally do or are used for. ,All or most  sponge(s) can clean/be used for cleaning. This is not what they normally do or are used for. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
afforded_usual,roll,tire,true,agree,gold labels,12811,c2a8c89f-aae7-4e20-93eb-57a7aa8fdad1,I know that all or most tire(s) roll regularly or are used for rolling regularly. ,I know that all or most bug(s) crawl regularly or are used for crawling regularly. ,I know that all or most toothbrush(s) paint regularly or are used for painting regularly. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
variability_limited,roll,tire,false,agree,gold labels,12812,17a08ed4-b9c9-4765-9f39-3b0527aa0c29,You can find (a/an) tire which can roll/be used for rolling. This distinguishes a certain type of tire from others. ,You can find (a/an) lamp which can read/be used for reading. This distinguishes a certain type of lamp from others. ,You can find (a/an) coat which can cook/be used for cooking. This distinguishes a certain type of coat from others. ,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
creative,roll,tire,false,agree,gold labels,12813,45b28b10-8757-4807-9d5e-636ed3fb5c19,"I could say (a/an) tire rolls/is used for rolling, but I would most certainly not mean it literally.","I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally.","I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally.",4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
rare,roll,tire,false,agree,gold labels,12814,b0d405cf-95b3-47b6-ba2d-860dc072a384,"I think there is a tire  which can roll/be used for rolling, but this is rare or uncommon.","I think there is a toddler  which can read/be used for reading, but this is rare or uncommon.","I think there is a teenager  which can read/be used for reading, but this is rare or uncommon.",4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
unusual,roll,tire,false,agree,gold labels,12815,99b9fd8a-9ed4-4393-bcac-a535351fb8fa,"Usually, (a/an) tire cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) tire can roll.","Usually, (a/an) hot dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot dog can walk.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
impossible,roll,tire,false,agree,gold labels,12816,ead013eb-99c8-4b3a-be36-f0017ce64ae2,I think it is impossible for (a/an) tire to roll/be used for rolling.,I think it is impossible for (a/an) hammer to float/be used for floating.,I think it is impossible for (a/an) apple to rot/be used for roting.,4,1,test,Agree or disagree (run4-expert_inspection1-batch1-30-30)
