quid,relation,property,concept,answer,expected_agreement,disagreement_cnt,workerid,completionurl
impossible-shovel-roll,impossible,roll,shovel,false,disagreement,4,gold,gold
unusual-carrot-red,unusual,red,carrot,NOGOLD,disagreement,5,gold,gold
implied_category-freebooter-dangerous,implied_category,dangerous,freebooter,true,disagreement,4,gold,gold
rare-carrot-red,rare,red,carrot,true,disagreement,5,gold,gold
rare-shovel-roll,rare,roll,shovel,NOGOLD,disagreement,3,gold,gold
variability_open-freebooter-dangerous,variability_open,dangerous,freebooter,false,agreement,0,gold,gold
variability_limited-pineapple-yellow,variability_limited,yellow,pineapple,NOGOLD,disagreement,3,gold,gold
typical_of_property-buttercup-yellow,typical_of_property,yellow,buttercup,false,agreement,0,gold,gold
variability_limited-buttercup-yellow,variability_limited,yellow,buttercup,false,possible_disagreement,1,gold,gold
variability_limited-tire-roll,variability_limited,roll,tire,false,agreement,0,gold,gold
typical_of_property-arrow-fly,typical_of_property,fly,arrow,false,agreement,0,gold,gold
typical_of_concept-arrow-fly,typical_of_concept,fly,arrow,true,agreement,0,gold,gold
afforded_usual-arrow-fly,afforded_usual,fly,arrow,true,agreement,0,gold,gold
variability_limited-arrow-fly,variability_limited,fly,arrow,false,possible_disagreement,1,gold,gold
impossible-arrow-fly,impossible,fly,arrow,false,possible_disagreement,1,gold,gold
creative-pin-roll,creative,roll,pin,false,agreement,0,gold,gold
implied_category-buttercup-yellow,implied_category,yellow,buttercup,false,possible_disagreement,1,gold,gold
typical_of_concept-tire-roll,typical_of_concept,roll,tire,true,possible_disagreement,0,gold,gold
creative-arrow-fly,creative,fly,arrow,false,agreement,0,gold,gold
rare-arrow-fly,rare,fly,arrow,false,agreement,0,gold,gold
unusual-arrow-fly,unusual,fly,arrow,false,agreement,0,gold,gold
unusual-pin-roll,unusual,roll,pin,false,agreement,0,gold,gold
impossible-pin-roll,impossible,roll,pin,false,agreement,0,gold,gold
typical_of_concept-buttercup-yellow,typical_of_concept,yellow,buttercup,true,agreement,0,gold,gold
variability_open-buttercup-yellow,variability_open,yellow,buttercup,false,agreement,0,gold,gold
afforded_unusual-tire-roll,afforded_unusual,roll,tire,false,agreement,0,gold,gold
afforded_usual-tire-roll,afforded_usual,roll,tire,true,agreement,0,gold,gold
creative-tire-roll,creative,roll,tire,false,agreement,0,gold,gold
rare-tire-roll,rare,roll,tire,false,agreement,0,gold,gold
unusual-tire-roll,unusual,roll,tire,false,agreement,0,gold,gold
impossible-tire-roll,impossible,roll,tire,false,agreement,0,gold,gold
variability_limited-recliner-square,variability_limited,square,recliner,false,disagreement,8,gold,gold
variability_open-recliner-square,variability_open,square,recliner,false,disagreement,6,gold,gold
creative-recliner-square,creative,square,recliner,NOGOLD,disagreement,6,gold,gold
unusual-recliner-square,unusual,square,recliner,NOGOLD,disagreement,5,gold,gold
unusual-leopard-yellow,unusual,yellow,leopard,NOGOLD,disagreement,3,gold,gold
implied_category-pen-round,implied_category,round,pen,NOGOLD,disagreement,4,gold,gold
typical_of_concept-pen-round,typical_of_concept,round,pen,NOGOLD,disagreement,5,gold,gold
affording_activity-pen-round,affording_activity,round,pen,false,possible_disagreement,1,gold,gold
creative-washer-roll,creative,roll,washer,NOGOLD,disagreement,1,gold,gold
variability_limited-plaice-lay_eggs,variability_limited,lay_eggs,plaice,NOGOLD,disagreement,2,gold,gold
implied_category-recliner-square,implied_category,square,recliner,false,disagreement,3,gold,gold
typical_of_concept-recliner-square,typical_of_concept,square,recliner,false,disagreement,3,gold,gold
rare-recliner-square,rare,square,recliner,false,disagreement,5,gold,gold
impossible-leopard-yellow,impossible,yellow,leopard,false,disagreement,3,gold,gold
variability_limited-pen-round,variability_limited,round,pen,true,disagreement,3,gold,gold
rare-washer-roll,rare,roll,washer,false,disagreement,2,gold,gold
unusual-washer-roll,unusual,roll,washer,true,disagreement,2,gold,gold
typical_of_concept-plaice-lay_eggs,typical_of_concept,lay_eggs,plaice,false,possible_disagreement,1,gold,gold
afforded_unusual-plaice-lay_eggs,afforded_unusual,lay_eggs,plaice,false,possible_disagreement,1,gold,gold
impossible-washer-roll,impossible,roll,washer,NOGOLD,disagreement,2,gold,gold
typical_of_concept-acaridae-dangerous,typical_of_concept,dangerous,acaridae,false,possible_disagreement,1,gold,gold
rare-acaridae-dangerous,rare,dangerous,acaridae,true,disagreement,2,gold,gold
unusual-acaridae-dangerous,unusual,dangerous,acaridae,true,disagreement,2,gold,gold
creative-stock-fly,creative,fly,stock,NOGOLD,disagreement,3,gold,gold
rare-stock-fly,rare,fly,stock,NOGOLD,disagreement,4,gold,gold
unusual-stock-fly,unusual,fly,stock,NOGOLD,disagreement,6,gold,gold
impossible-stock-fly,impossible,fly,stock,NOGOLD,disagreement,4,gold,gold
implied_category-cruiser-wheels,implied_category,wheels,cruiser,NOGOLD,disagreement,3,gold,gold
typical_of_concept-cruiser-wheels,typical_of_concept,wheels,cruiser,NOGOLD,disagreement,2,gold,gold
affording_activity-cruiser-wheels,affording_activity,wheels,cruiser,NOGOLD,disagreement,2,gold,gold
unusual-cruiser-wheels,unusual,wheels,cruiser,NOGOLD,disagreement,3,gold,gold
typical_of_concept-rhino-black,typical_of_concept,black,rhino,false,possible_disagreement,1,gold,gold
unusual-rhino-black,unusual,black,rhino,NOGOLD,disagreement,2,gold,gold
unusual-pen-made_of_wood,unusual,made_of_wood,pen,false,possible_disagreement,1,gold,gold
creative-acaridae-dangerous,creative,dangerous,acaridae,false,disagreement,2,gold,gold
implied_category-acaridae-dangerous,implied_category,dangerous,acaridae,false,possible_disagreement,1,gold,gold
affording_activity-acaridae-dangerous,affording_activity,dangerous,acaridae,false,possible_disagreement,1,gold,gold
variability_limited-acaridae-dangerous,variability_limited,dangerous,acaridae,false,possible_disagreement,1,gold,gold
variability_open-acaridae-dangerous,variability_open,dangerous,acaridae,false,possible_disagreement,1,gold,gold
implied_category-stock-fly,implied_category,fly,stock,false,disagreement,4,gold,gold
typical_of_property-stock-fly,typical_of_property,fly,stock,false,disagreement,4,gold,gold
typical_of_concept-stock-fly,typical_of_concept,fly,stock,false,disagreement,3,gold,gold
afforded_unusual-stock-fly,afforded_unusual,fly,stock,false,disagreement,3,gold,gold
afforded_usual-stock-fly,afforded_usual,fly,stock,false,disagreement,3,gold,gold
variability_limited-stock-fly,variability_limited,fly,stock,false,disagreement,0,gold,gold
creative-cruiser-wheels,creative,wheels,cruiser,false,disagreement,4,gold,gold
typical_of_property-cruiser-wheels,typical_of_property,wheels,cruiser,false,possible_disagreement,1,gold,gold
variability_limited-cruiser-wheels,variability_limited,wheels,cruiser,false,possible_disagreement,3,gold,gold
variability_open-cruiser-wheels,variability_open,wheels,cruiser,false,disagreement,3,gold,gold
rare-cruiser-wheels,rare,wheels,cruiser,false,disagreement,3,gold,gold
impossible-cruiser-wheels,impossible,wheels,cruiser,false,disagreement,4,gold,gold
creative-rhino-black,creative,black,rhino,false,disagreement,2,gold,gold
implied_category-rhino-black,implied_category,black,rhino,false,possible_disagreement,0,gold,gold
typical_of_property-rhino-black,typical_of_property,black,rhino,false,possible_disagreement,1,gold,gold
variability_limited-rhino-black,variability_limited,black,rhino,true,possible_disagreement,3,gold,gold
rare-rhino-black,rare,black,rhino,false,disagreement,3,gold,gold
impossible-rhino-black,impossible,black,rhino,false,possible_disagreement,1,gold,gold
affording_activity-rhino-black,affording_activity,black,rhino,NOGOLD,disagreement,0,gold,gold
rare-pen-made_of_wood,rare,made_of_wood,pen,NOGOLD,disagreement,0,gold,gold
typical_of_property-acaridae-dangerous,typical_of_property,dangerous,acaridae,false,agreement,0,gold,gold
impossible-acaridae-dangerous,impossible,dangerous,acaridae,false,possible_disagreement,2,gold,gold
variability_open-rhino-black,variability_open,black,rhino,false,possible_disagreement,0,gold,gold
creative-pen-made_of_wood,creative,made_of_wood,pen,false,agreement,0,gold,gold
impossible-pen-made_of_wood,impossible,made_of_wood,pen,false,agreement,0,gold,gold
creative-leopard-yellow,creative,yellow,leopard,false,disagreement,5,gold,gold
afforded_unusual-washer-roll,afforded_unusual,roll,washer,false,possible_disagreement,1,gold,gold
affording_activity-recliner-square,affording_activity,square,recliner,false,possible_disagreement,1,gold,gold
impossible-recliner-square,impossible,square,recliner,false,disagreement,6,gold,gold
rare-leopard-yellow,rare,yellow,leopard,false,possible_disagreement,2,gold,gold
variability_open-pen-round,variability_open,round,pen,false,possible_disagreement,2,gold,gold
implied_category-washer-roll,implied_category,roll,washer,false,possible_disagreement,1,gold,gold
implied_category-plaice-lay_eggs,implied_category,lay_eggs,plaice,true,possible_disagreement,1,gold,gold
typical_of_property-plaice-lay_eggs,typical_of_property,lay_eggs,plaice,false,possible_disagreement,1,gold,gold
afforded_usual-plaice-lay_eggs,afforded_usual,lay_eggs,plaice,true,disagreement,2,gold,gold
creative-plaice-lay_eggs,creative,lay_eggs,plaice,false,possible_disagreement,1,gold,gold
rare-plaice-lay_eggs,rare,lay_eggs,plaice,false,possible_disagreement,1,gold,gold
unusual-plaice-lay_eggs,unusual,lay_eggs,plaice,false,possible_disagreement,1,gold,gold
impossible-plaice-lay_eggs,impossible,lay_eggs,plaice,false,possible_disagreement,1,gold,gold
typical_of_property-recliner-square,typical_of_property,square,recliner,false,agreement,0,gold,gold
typical_of_property-pen-round,typical_of_property,round,pen,false,agreement,0,gold,gold
typical_of_property-washer-roll,typical_of_property,roll,washer,false,agreement,0,gold,gold
typical_of_concept-washer-roll,typical_of_concept,roll,washer,false,agreement,0,gold,gold
afforded_usual-washer-roll,afforded_usual,roll,washer,false,agreement,0,gold,gold
variability_limited-washer-roll,variability_limited,roll,washer,false,agreement,0,gold,gold
affording_activity-freebooter-dangerous,affording_activity,dangerous,freebooter,true,possible_disagreement,3,gold,gold
typical_of_property-wine-red,typical_of_property,red,wine,false,agreement,0,gold,gold
affording_activity-wine-red,affording_activity,red,wine,false,possible_disagreement,1,gold,gold
creative-shovel-roll,creative,roll,shovel,false,possible_disagreement,1,gold,gold
unusual-shovel-roll,unusual,roll,shovel,true,disagreement,3,gold,gold
typical_of_concept-freebooter-dangerous,typical_of_concept,dangerous,freebooter,true,possible_disagreement,3,gold,gold
variability_limited-freebooter-dangerous,variability_limited,dangerous,freebooter,false,possible_disagreement,3,gold,gold
rare-freebooter-dangerous,rare,dangerous,freebooter,false,possible_disagreement,1,gold,gold
unusual-freebooter-dangerous,unusual,dangerous,freebooter,false,possible_disagreement,1,gold,gold
implied_category-pineapple-yellow,implied_category,yellow,pineapple,false,possible_disagreement,2,gold,gold
typical_of_concept-pineapple-yellow,typical_of_concept,yellow,pineapple,true,possible_disagreement,2,gold,gold
affording_activity-pineapple-yellow,affording_activity,yellow,pineapple,false,possible_disagreement,2,gold,gold
creative-carrot-red,creative,red,carrot,false,possible_disagreement,1,gold,gold
impossible-carrot-red,impossible,red,carrot,false,disagreement,4,gold,gold
implied_category-wine-red,implied_category,red,wine,false,possible_disagreement,1,gold,gold
typical_of_concept-wine-red,typical_of_concept,red,wine,true,agreement,0,gold,gold
variability_open-wine-red,variability_open,red,wine,false,agreement,0,gold,gold
implied_category-shovel-roll,implied_category,roll,shovel,false,agreement,0,gold,gold
typical_of_property-shovel-roll,typical_of_property,roll,shovel,false,agreement,0,gold,gold
typical_of_concept-shovel-roll,typical_of_concept,roll,shovel,false,agreement,0,gold,gold
afforded_unusual-shovel-roll,afforded_unusual,roll,shovel,false,agreement,0,gold,gold
afforded_usual-shovel-roll,afforded_usual,roll,shovel,false,agreement,0,gold,gold
variability_limited-shovel-roll,variability_limited,roll,shovel,false,agreement,0,gold,gold
typical_of_property-freebooter-dangerous,typical_of_property,dangerous,freebooter,false,agreement,0,gold,gold
creative-freebooter-dangerous,creative,dangerous,freebooter,false,agreement,0,gold,gold
impossible-freebooter-dangerous,impossible,dangerous,freebooter,false,agreement,0,gold,gold
typical_of_property-pineapple-yellow,typical_of_property,yellow,pineapple,false,agreement,0,gold,gold
variability_open-pineapple-yellow,variability_open,yellow,pineapple,false,agreement,0,gold,gold
variability_limited-wine-red,variability_limited,red,wine,true,agreement,0,gold,gold
creative-wine-red,creative,red,wine,false,agreement,0,gold,gold
rare-wine-red,rare,red,wine,false,agreement,0,gold,gold
unusual-wine-red,unusual,red,wine,false,agreement,0,gold,gold
impossible-wine-red,impossible,red,wine,false,agreement,0,gold,gold
implied_category-arrow-fly,implied_category,fly,arrow,NOGOLD,disagreement,3,gold,gold
afforded_unusual-arrow-fly,afforded_unusual,fly,arrow,false,possible_disagreement,1,gold,gold
rare-pin-roll,rare,roll,pin,false,possible_disagreement,1,gold,gold
affording_activity-buttercup-yellow,affording_activity,yellow,buttercup,false,disagreement,3,gold,gold
implied_category-tire-roll,implied_category,roll,tire,true,disagreement,4,gold,gold
typical_of_property-tire-roll,typical_of_property,roll,tire,false,agreement,0,gold,gold
