relation	property	concept	answer	workerid	questionid	quid	description	exampletrue	examplefalse	run	sublist	completionurl	name
typical_of_property	square	recliner	false	gold labels	24514	52bbea84-f036-48a1-a8f1-68446090a179	``Recliner'' is one of the first things which come to mind when I hear ``square' because (a/an) recliner is a typical example of things which are square'. 	``Mouse'' is one of the first things which come to mind when I hear ``small' because (a/an) mouse is a typical example of things which are small'. 	``Dog'' is one of the first things which come to mind when I hear ``small' because (a/an) dog is a typical example of things which are small'. 	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
affording_activity	square	recliner	false	gold labels	24515	65e66acd-572e-4ba5-b335-3e0a0aed3b4d	I know that being square is necessary for many things (a/an) recliner does or is used for. 	I know that being sharp is necessary for many things (a/an) razor does or is used for. 	I know that being colorful is necessary for many things (a/an) dress does or is used for. 	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
impossible	square	recliner	false	gold labels	24516	2729e7e1-12b3-4222-8087-1e17978b3869	I think it is impossible for (a/an) recliner to be square.	I think it is impossible for (a/an) flame to be frozen.	I think it is impossible for (a/an) book to be light.	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
creative	yellow	leopard	FALSE	gold labels	24517	53d32e67-a3b0-4b23-b84d-cc33efa62cae	I could say (a/an) leopard is yellow, but I would most certainly not mean it literally.	"I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally."	"I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally."	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
rare	yellow	leopard	false	gold labels	24518	0dac804c-0863-4c83-9677-29d89fb63886	I think (a/an) leopard can be yellow, but this is rare or uncommon.	I think (a/an) tomato can be yellow, but this is rare or uncommon.	I think (a/an) grizzly bear can be grey, but this is rare or uncommon.	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
typical_of_property	round	pen	false	gold labels	24519	9d207395-bda1-4c31-9727-2340c2c3c512	``Pen'' is one of the first things which come to mind when I hear ``round' because (a/an) pen is a typical example of things which are round'. 	``Mouse'' is one of the first things which come to mind when I hear ``small' because (a/an) mouse is a typical example of things which are small'. 	``Dog'' is one of the first things which come to mind when I hear ``small' because (a/an) dog is a typical example of things which are small'. 	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
variability_open	round	pen	false	gold labels	24520	b1b27814-fb5f-4ff5-8a7f-d5c0e67e42bc	You can find (a/an) pen which is round. Round is one of many possible shapes (a/an) pen usually has. The range of shapes is almost unlimited. 	You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower usually has. The range of colors is almost unlimited. 	You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot usually has. The range of colors is almost unlimited. 	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
implied_category	roll	washer	false	gold labels	24521	9099d88c-f263-475f-a77b-4563bb42d192	I know that (a/an) washer can roll/be used for rolling as most or all other things similar to (a/an) washer roll. 	I know that (a/an) apple_tree can grow/be used for growing as most or all other things similar to (a/an) apple_tree grow. 	I know that (a/an) worm can run/be used for runing as most or all other things similar to (a/an) worm run. 	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
typical_of_property	roll	washer	false	gold labels	24522	06933e11-d8ed-447d-8061-05e6be14beb6	``Washer'' is one of the first things which come to mind when I hear ``roll' because (a/an) washer is a typical example of things which roll/are used for rolling'. 	``Cat'' is one of the first things which come to mind when I hear ``purr' because (a/an) cat is a typical example of things which purr/are used for purring'. 	``Dog'' is one of the first things which come to mind when I hear ``run' because (a/an) dog is a typical example of things which run/are used for runing'. 	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
typical_of_concept	roll	washer	false	gold labels	24523	a0bdd379-e500-42c0-be33-26afe944836f	``Roll'' is one for the first things which come to mind when I hear ``washer' because rolling is one of the typical movements of (a/an) washer'.	``Paint'' is one for the first things which come to mind when I hear ``brush' because painting is one of the typical activities of (a/an) brush'.	``Throw'' is one for the first things which come to mind when I hear ``apple' because throwing is one of the typical activites of (a/an) apple'.	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
afforded_unusual	roll	washer	FALSE	gold labels	24524	934bd273-ed16-4773-96f7-1f5e9a28c0bf	All or most  washer(s) can roll/be used for rolling. This is not what they normally do or are used for. 	All or most  toothbrush(s) can paint/be used for painting. This is not what they normally do or are used for. 	All or most  brush(s) can paint/be used for painting. This is not what they normally do or are used for. 	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
afforded_usual	roll	washer	false	gold labels	24525	9605daf6-5206-42d0-822f-645c466aa00f	I know that all or most washer(s) roll regularly or are used for rolling regularly. 	I know that all or most candle(s) burn regularly or are used for burning regularly. 	I know that all or most T-shirt(s) wrap regularly or are used for wraping regularly. 	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
variability_limited	roll	washer	false	gold labels	24526	05f6f90d-caa2-41bf-9c61-69f06664277a	You can find (a/an) washer which can roll/be used for rolling. This distinguishes a certain type of washer from others. 	You can find (a/an) dog which can hunt/be used for hunting. This distinguishes a certain type of dog from others. 	You can find (a/an) dog which can breathe/be used for breathing. This distinguishes a certain type of dog from others. 	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
implied_category	lay_eggs	plaice	true	gold labels	24527	b3ee3830-ee90-4a1b-afa6-42b0d79555a1	I know that (a/an) plaice can lay_eggs/be used for laying eggs as most or all other things similar to (a/an) plaice lay_eggs. 	I know that (a/an) dog can breathe/be used for breathing as most or all other things similar to (a/an) dog breathe. 	I know that (a/an) cat can meow/be used for meowing as most or all other things similar to (a/an) cat meow. 	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
typical_of_property	lay_eggs	plaice	false	gold labels	24528	e6b98f86-2940-4398-8d29-85df28dc579e	``Plaice'' is one of the first things which come to mind when I hear ``lay_eggs' because (a/an) plaice is a typical example of things which lay_eggs/are used for laying eggs'. 	``Knife'' is one of the first things which come to mind when I hear ``cut' because (a/an) knife is a typical example of things which cut/are used for cuting'. 	``Hamster'' is one of the first things which come to mind when I hear ``kill' because (a/an) hamster is a typical example of things which kill/are used for killing'. 	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
afforded_usual	lay_eggs	plaice	true	gold labels	24529	32060deb-6280-4406-bcd4-13be814de61c	I know that all or most plaice(s) lay_eggs regularly or are used for laying eggs regularly. 	I know that all or most student(s) study regularly or are used for studying regularly. 	I know that all or most jeans(s) clean regularly or are used for cleaning regularly. 	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
creative	lay_eggs	plaice	false	gold labels	24530	151f5d82-e9ec-4730-866f-c148d3b0ca2b	I could say (a/an) plaice lays eggs/is used for laying eggs, but I would most certainly not mean it literally.	"I could say (a/an) idea grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) person glows/is used for glowing, but I would most certainly not mean it literally.
I could say (a/an) thought burns/is used for burning, but I would most certainly not mean it literally."	"I could say (a/an) plant grows/is used for growing, but I would most certainly not mean it literally.
I could say (a/an) situation smiles/is used for smileing, but I would most certainly not mean it literally.
I could say (a/an) candle burns/is used for burning, but I would most certainly not mean it literally."	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
rare	lay_eggs	plaice	false	gold labels	24531	4e52f42d-7b4f-47d2-98ba-cb51b2c17d83	I think there is a plaice  which can lay_eggs/be used for laying eggs, but this is rare or uncommon.	I think there is a student  which can teach/be used for teaching, but this is rare or uncommon.	I think there is a teacher  which can teach/be used for teaching, but this is rare or uncommon.	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
unusual	lay_eggs	plaice	false	gold labels	24532	48b688d9-f844-474b-8565-613c0efbb43c	Usually, (a/an) plaice cannot lay_eggs/be used for laying eggs, but there could be a highly unusual situation in which (a/an) plaice can lay_eggs.	Usually, (a/an) hot dog cannot walk/be used for walking, but there could be a highly unusual situation in which (a/an) hot dog can walk.	Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
impossible	lay_eggs	plaice	false	gold labels	24533	93662e06-b868-4615-ab2b-61f101004b04	I think it is impossible for (a/an) plaice to lay_eggs/be used for laying eggs.	I think it is impossible for (a/an) rock to float/be used for floating.	I think it is impossible for (a/an) metal to melt/be used for melting.	4	1	https://piasommerauer.github.io/annotation	Agree or disagree (run4-expert_inspection3-batch1-40-40)
